expert_newsroom_id,expert_name,expert_url,total_project_count,total_project_count_us,expertises
ABC1234,Fisher Marantz Stone,https://www.archdaily.com/professional/fisher-marantz-stone,18,17,"Lighting Consultants,Lighting Consultant,Lighting,Lighting Design,Lighting Designer"
ABC1234,Gude Management Group,https://www.archdaily.com/professional/gude-management-group,1,1,Project Manager
ABC1234,Cousins Properties,https://www.archdaily.com/professional/cousins-properties,1,1,Project Manager
ABC1234,H.J. Russell & Company,https://www.archdaily.com/professional/h-j-russell-company,2,2,"Contractor,General Contractor"
ABC1234,C.D. Moody Construction Company,https://www.archdaily.com/professional/c-d-moody-construction-company,1,1,Contractor
ABC1234,Holder Construction Company,https://www.archdaily.com/professional/holder-construction-company,3,3,"Contractor,General Contractor"
ABC1234,HOK,https://www.archdaily.com/professional/hok,3,2,"Landscape,Lighting"
ABC1234,Long Engineering,https://www.archdaily.com/professional/long-engineering,1,1,Civil
ABC1234,2x4,https://www.archdaily.com/professional/2x4-ff59204c-9cd6-4d18-be88-6d2d2e40ec8f,3,3,"Graphics,Graphic Design,Graphic Designers"
ABC1234,Reed Hilderbrand,https://www.archdaily.com/professional/reed-hilderbrand,16,15,"Landscape Architect,Landscape Architecture,Landscape Architects,Landscape Architect:,Landscape,Landscape Design"
ABC1234,Gilbane + Welliver,https://www.archdaily.com/professional/gilbane-welliver,1,1,Construction Management
ABC1234,Heintges,https://www.archdaily.com/professional/heintges,3,3,"Facade Consultant,Façade,Façade Consultant"
ABC1234,Stuart-Lynn Company,https://www.archdaily.com/professional/stuart-lynn-company,4,4,"Cost Consultant,Cost Estimator"
ABC1234,PWP Landscape Architecture,https://www.archdaily.com/professional/pwp-landscape-architecture,3,3,"Landscape Architect,Landscape Architecture"
ABC1234,Bartlett Tree Experts,https://www.archdaily.com/professional/bartlett-tree-experts,2,2,"Arborist,Consultants"
ABC1234,Pine & Swallow Environmental,https://www.archdaily.com/professional/pine-swallow-environmental,2,2,"Soil Scientist,Consultants"
ABC1234,Reginald Hough Associates,https://www.archdaily.com/professional/reginald-hough-associates,3,3,Concrete Consultant
ABC1234,Schnabel Engineering DC,https://www.archdaily.com/professional/schnabel-engineering-dc,1,1,Geotechnical Engineering
ABC1234,Owings & Merrill LLP,https://www.archdaily.com/professional/owings-merrill-llp,9,9,"Structural Engineering,Interior Design Team,Structural Engineer,Civil Engineer,Sustainability"
ABC1234,Sweeney & Associates,https://www.archdaily.com/professional/sweeney-associates,1,1,Irrigation
ABC1234,VIKA Inc.,https://www.archdaily.com/professional/vika-inc,1,1,Civil Engineering
ABC1234,Gensler,https://www.archdaily.com/professional/gensler,5,5,"Graphic Designers,Interior Designer,Consultants,Signage Consultant,Interiors"
ABC1234,Jaros Baum & Bolles,https://www.archdaily.com/professional/jaros-baum-bolles,6,5,"MEP Engineer,MEP Engineers"
ABC1234,Scape,https://www.archdaily.com/professional/scape,4,4,"Landscape Architect,Landscape Architecture"
ABC1234,Dot Dash,https://www.archdaily.com/professional/dot-dash,6,6,"Lighting,Lighting Consultant,Specialist Lighting"
ABC1234,Silman,https://www.archdaily.com/professional/silman,21,20,"Structural Engineer,Structural,Engineering,Structural Engineering,Consultants"
ABC1234,Carrickmore P&G,https://www.archdaily.com/professional/carrickmore-p-g,1,1,Contractor
ABC1234,Cosentini Associates,https://www.archdaily.com/professional/cosentini-associates,14,13,"MEP Engineer,Mechanical Engineering,Engineering,MEP,Mechanical Engineers,Lighting"
ABC1234,Derosier Engineering,https://www.archdaily.com/professional/derosier-engineering,1,1,Civil
ABC1234,GZA engineering,https://www.archdaily.com/professional/gza-engineering,1,1,Geotech
ABC1234,Lighting Workshop,https://www.archdaily.com/professional/lighting-workshop,12,12,"Lighting Designer,Lighting,Lighting Consultant"
ABC1234,Pan Geo Inc,https://www.archdaily.com/professional/pan-geo-inc,1,1,Geotechnical Engineer
ABC1234,Dovetail General Contractors,https://www.archdaily.com/professional/dovetail-general-contractors,5,5,"Contractor,General Contractor"
ABC1234,Swenson Say Faget,https://www.archdaily.com/professional/swenson-say-faget,14,14,"Structural Engineer,Structural,Structural Engineering"
ABC1234,360 Analytics,https://www.archdaily.com/professional/360-analytics,1,1,Energy Consultant
ABC1234,RJC Builders,https://www.archdaily.com/professional/rjc-builders,5,5,"General Contractor,Contractor"
ABC1234,Glumac,https://www.archdaily.com/professional/glumac,6,6,"MEP Engineering,Mechanical Engineer,Electrical Engineer,Mechanical,MEP Engineer,MEP Consultant"
ABC1234,Nous Engineering,https://www.archdaily.com/professional/nous-engineering,9,8,"Structural Engineering,Structural Engineer,Engineer,Engineering,Structural Engineers"
ABC1234,3GD inc.,https://www.archdaily.com/professional/3gd-inc,1,1,General Contractor
ABC1234,Landform Designs,https://www.archdaily.com/professional/landform-designs,1,1,Landscape Architects
ABC1234,I Space,https://www.archdaily.com/professional/i-space,1,1,Consultants
ABC1234,Star Construction,https://www.archdaily.com/professional/star-construction,4,1,Builder
ABC1234,Hogan Macaulay,https://www.archdaily.com/professional/hogan-macaulay,2,2,Lighting Consultant
ABC1234,Architecture + Light,https://www.archdaily.com/professional/architecture-light,3,3,"Lighting Consultant,Lighting"
ABC1234,Atlantic Managment Group,https://www.archdaily.com/professional/atlantic-managment-group,1,1,General Contractor
ABC1234,Case Construction Company,https://www.archdaily.com/professional/case-construction-company,1,1,General Contractor
ABC1234,Golden Rule Construction,https://www.archdaily.com/professional/golden-rule-construction,2,2,General Contractor
ABC1234,Applied Ecological Services,https://www.archdaily.com/professional/applied-ecological-services,2,2,"Landscape Architects,Water"
ABC1234,True North Consulting Group,https://www.archdaily.com/professional/true-north-consulting-group,1,1,IT Consultant
ABC1234,Zahner,https://www.archdaily.com/professional/zahner,2,2,"Façade Consultant,Roofing"
ABC1234,40North,https://www.archdaily.com/professional/40north,1,1,Landscape Architect
ABC1234,Bob D. Campbell,https://www.archdaily.com/professional/bob-d-campbell,1,1,Structural Engineer
ABC1234,Saez Consulting Engineers,https://www.archdaily.com/professional/saez-consulting-engineers,1,1,Civil Engineer
ABC1234,CDB General Contractors LLC,https://www.archdaily.com/professional/cdb-general-contractors-llc,1,1,General Contractor
ABC1234,Ecotope,https://www.archdaily.com/professional/ecotope,7,7,"Energy Consultant,Mechanical Engineer,Mechanical Engineers,MEP Engineer"
